Unique Reference Number,Local Authority Code,Local Authority Name,Establishment Number,Establishment Name,Type Of Establishment,Establishment Status,Reason Establishment Opened,Open Date,Reason Establishment Closed,Close Date,Phase Of Education,Statutory Low Age,Statutory High Age,Boarders,Official Sixth Form,Gender,Religious Character,Diocese,Admissions Policy,School Capacity,Special Classes,Census Date,Number Of Pupils,Number Of Boys,Number Of Girls,Percentage Claiming Free School Meals,Trust School,Trust Name,School Sponsored,School Sponsor,Federation,Federation Name,Unique Property Reference Number,Further Higher Education Identifier,Further Education Type,Ofsted Last Inspected,Ofsted Special Measures,Last Changed Date,Street,Locality,Address 3,Town,County,Postcode,Website,Telephone Number,Head Title,Head First Name,Head Last Name,Head Honours,Head Preferred Job Title,Teen Mothers,Teen Mothers Places,Child Care Facilities,Special Education Needs Pupil Referral Unit,Emotional Behavioural Difficulties,Full Time Provision,Education By Other,Section 41 Approved,Special Education Needs 1,Special Education Needs 2,Region,Administrative Ward,Parliamentary Constituency,Urban Rural,GSSLA Code,Easting,Northing,Middle Super Output Area,Lower Super Output Area,Boarding Establishment,Previous Local Authority Code,Previous Local Authority Name,Previous Establishment Number,Longitude,Latitude,Spatial Accuracy,Last Uploaded,Location,Socrata ID
135747,302,Barnet,5427,JCoSS,Voluntary Aided School,Open,New Provision,01/09/2010,,,Secondary,11,19,,Has a sixth form,Mixed,Jewish,Not applicable,Comprehensive,1310,Not applicable,16/01/2014,789,415,375,6%,Not applicable,,Not applicable,,Not under a federation,,10030872,,,15/05/2012,Not in special measures,24/06/2014,Castle Wood Road,,,New Barnet,Hertfordshire,EN4 9GE,http://www.jcoss.org,2083442220,Mr,Patrick,Moriarty,,,Not applicable,,,Not applicable,Not applicable,,,Not applicable,ASD - Autistic Spectrum Disorder,,London,East Barnet,Chipping Barnet,Urban > 10k - less sparse,E09000003,526710,196751,Barnet 002,Barnet 002A,,999,,,-0.169704,51.655285,Unknown,24/09/2015,"(51.655285, -0.169704)",554
135800,213,Westminster,8046,Fashion Retail Academy,Further Education,Open,,01/08/2005,,,16 Plus,16,99,,Not applicable,Mixed,Does not apply,Not applicable,Not applicable,500,Not applicable,,,,,,Not applicable,,Not applicable,,Not applicable,,10009213,,"Art, Design and Performing Arts College",,Not in special measures,09/08/2013,15 Gresse Street,,,London,,W1T 1QL,,2073072354,Miss,Karen,Dennison,,,Not applicable,,,Not applicable,Not applicable,,,Not applicable,,,London,West End,Cities of London and Westminster,Urban > 10k - less sparse,E09000033,529615,181475,Westminster 013,Westminster 013B,,999,,,-0.133368,51.517345,Unknown,24/09/2015,"(51.517345, -0.133368)",555
135973,304,Brent,6907,The Crest Academies,Academy Sponsor Led,Open,New Provision,01/09/2009,Not applicable,,Secondary,11,19,No Boarders,Has a sixth form,Mixed,Does not apply,Not applicable,Comprehensive,750,No Special Classes,16/01/2014,771,0,770,29%,Linked to a multi-academy trust,E-ACT,Linked to a sponsor,E-ACT,Not applicable,,10027988,,Not applicable,28/01/2015,In special measures,27/03/2015,Crest Road,,Neasden,London,,NW2 7SN,http://www.thecrestacademies.org.uk/,2084524842,Mr,Mohsen,Ojja,,Principal,Not applicable,,Not applicable,Not applicable,Not applicable,,Not applicable,Not applicable,,,London,Dollis Hill,Brent Central,Urban > 10k - less sparse,E09000005,521993,186425,Brent 011,Brent 011D,,999,,,-0.241446,51.563527,Unknown,24/09/2015,"(51.563527, -0.241446)",556
135988,309,Haringey,6088,Assunnah Primary School,Other Independent School,Open,New Provision,08/09/2009,,,Not applicable,3,11,No Boarders,Does not have a sixth form,Mixed,,Not applicable,Not collected,127,Not applicable,16/01/2014,153,75,80,0%,Not applicable,,Not applicable,,Not applicable,,,,,,Not applicable,16/01/2015,565a High Road,,Tottenham,London,,N17 6SB,,2083500592,Mr,B,Ahmad,,,Not applicable,,,Not applicable,Not applicable,,,Not approved,,,London,Bruce Grove,Tottenham,Urban > 10k - less sparse,E09000014,533846,190314,Haringey 011,Haringey 011D,,999,,,-0.069065,51.595789,Unknown,24/09/2015,"(51.595789, -0.069065)",557
136014,302,Barnet,6122,Edgware Jewish Girls - Beis Chinuch,Other Independent School,Open,New Provision,13/09/2009,,,Not applicable,3,10,No Boarders,Does not have a sixth form,Girls,Jewish,Not applicable,Not collected,156,No Special Classes,16/01/2014,158,0,160,0%,Not applicable,,Not applicable,,Not applicable,,,,,,Not applicable,16/01/2015,Yeshurun Synagogue,Fernhurst Gardens,,Edgware,Middlesex,HA8 7PH,,2089510239,Mr,Moshe,Cohen,,,Not applicable,,,Not applicable,Not applicable,,,Not approved,,,London,Edgware,Hendon,Urban > 10k - less sparse,E09000003,519102,191863,Barnet 018,Barnet 018B,Does not have boarders,999,,,-0.28129,51.613018,Unknown,24/09/2015,"(51.613018, -0.28129)",558
136138,206,Islington,4900,Islington Sixth Form Consortium,Sixth Form Centres,Open,New Provision,01/09/2009,,,Not applicable,16,18,,Not applicable,Mixed,,Not applicable,Not applicable,,Not applicable,,,,,,Not applicable,,Not applicable,,Not applicable,,10031634,,,,Not applicable,28/08/2014,C/O Central Foundation Boys' School,Cowper Street,,London,,EC2A 4SH,,,,,,,,Not applicable,,,Not applicable,Not applicable,,,Not applicable,,,London,Bunhill,Islington South and Finsbury,Urban > 10k - less sparse,E09000019,0,0,Islington 023,Islington 023D,,999,,,-7.55717,49.766813,Unknown,24/09/2015,"(49.766813, -7.55717)",559
136231,304,Brent,6114,Bnos Beis Yaakov Primary School,Other Independent School,Open,New Provision,13/09/2010,,,Not applicable,3,9,No Boarders,Does not have a sixth form,Girls,Jewish,Not applicable,Not collected,85,No Special Classes,16/01/2014,65,0,65,0%,Not applicable,,Not applicable,,Not applicable,,,,,,Not applicable,14/04/2015,Kingsbury Synagogue,Kingsbury Green,,London,,NW9 8XR,,2082044078,Rabbi,Nathaniel,Lieberman,,,Not applicable,,,Not applicable,Not applicable,,,Not approved,,,London,Fryent,Brent North,Urban > 10k - less sparse,E09000005,520396,188514,Brent 005,Brent 005A,,999,,,-0.263759,51.582645,Unknown,24/09/2015,"(51.582645, -0.263759)",560
136263,302,Barnet,6201,The Holmewood School London,Other Independent Special School,Open,New Provision,30/11/2010,,,Not applicable,7,19,No Boarders,Not applicable,Mixed,Does not apply,Not applicable,Non-selective,64,Has Special Classes,16/01/2014,34,30,5,0%,Not applicable,,Not applicable,,Not applicable,,10032080,,,,Not applicable,16/02/2015,88 Woodside Park Road,,,London,,N12 8SH,http://www.thsl.org.uk,2089200660,Miss,L,Santi,,,Not applicable,,,Not applicable,Not applicable,,,Not approved,SpLD - Specific Learning Difficulty,ASD - Autistic Spectrum Disorder,London,Totteridge,Chipping Barnet,Urban > 10k - less sparse,E09000003,525774,192586,Barnet 012,Barnet 012B,,999,,,-0.184722,51.618065,Unknown,24/09/2015,"(51.618065, -0.184722)",561
136290,302,Barnet,5401,"Queen Elizabeth's School, Barnet",Academy Converter,Open,Academy Converter,01/10/2010,,,Secondary,11,18,No Boarders,Has a sixth form,Boys,None,Not applicable,Selective,1040,No Special Classes,16/01/2014,1179,1180,0,0.8%,Linked to a trust/single academy trust,Queen Elizabeth's School Barnet,-,,Not applicable,,10031349,,Not applicable,,Not in special measures,16/02/2015,Queen's Road,,,Barnet,Hertfordshire,EN5 4DQ,http://www.qebarnet.co.uk,2084414646,Mr,Neil,Enright,"MA (Oxon), MBA, FRSA",Headmaster,Not applicable,,Not applicable,Not applicable,Not applicable,,Not applicable,Not applicable,,,London,High Barnet,Chipping Barnet,Urban > 10k - less sparse,E09000003,523744,196731,Barnet 001,Barnet 001B,,999,,,-0.212564,51.655766,Unknown,24/09/2015,"(51.655766, -0.212564)",562
136308,302,Barnet,5406,Ashmole Academy,Academy Converter,Open,Academy Converter,01/10/2010,,,Secondary,11,18,No Boarders,Has a sixth form,Mixed,None,Not applicable,Comprehensive,1452,No Special Classes,16/01/2014,1461,695,765,6.6%,Linked to a trust/single academy trust,Ashmole Academy,Linked to a sponsor,Ashmole Academy,Not applicable,,10031563,,Not applicable,,Not in special measures,16/02/2015,Cecil Road,Southgate,,London,,N14 5RJ,http://www.ashmoleacademy.org,2083612703,Mr,Derrick,Brown,,Headteacher,Not applicable,,Not applicable,Not applicable,Not applicable,,Not applicable,Not applicable,,,London,Brunswick Park,Chipping Barnet,Urban > 10k - less sparse,E09000003,529324,194021,Barnet 009,Barnet 009D,,999,,,-0.132945,51.630157,Unknown,24/09/2015,"(51.630157, -0.132945)",563
136402,302,Barnet,3524,Beit Shvidler Primary School,Voluntary Aided School,Open,Former Independent,03/01/2011,,,Primary,3,11,,Does not have a sixth form,Mixed,Jewish,Not applicable,Not applicable,210,No Special Classes,16/01/2014,233,135,100,5.9%,Not applicable,,Not applicable,,Not under a federation,,,,,19/06/2012,Not in special measures,24/06/2014,261 Hale Lane,Edgware,,,Middlesex,HA8 8NX,http://www.beitshvidler.org.uk,2082382746,Ms,Sara,Keen,,,Not applicable,,,Not applicable,Not applicable,,,Not applicable,,,London,Edgware,Hendon,Urban > 10k - less sparse,E09000003,519756,192430,Barnet 018,Barnet 018A,,999,,,-0.271656,51.617975,Unknown,24/09/2015,"(51.617975, -0.271656)",564
136418,302,Barnet,4215,The Compton School,Academy Converter,Open,Academy Converter,01/01/2011,,,Secondary,11,18,No Boarders,Has a sixth form,Mixed,Does not apply,Not applicable,Comprehensive,1350,No Special Classes,16/01/2014,945,470,475,16.6%,Linked to a trust/single academy trust,"Compton School, The",-,,Not applicable,,10032609,,Not applicable,,Not in special measures,26/05/2015,Summers Lane,,,London,,N12 0QG,http://www.lgfl.net/lgfl/leas/barnet/schools/compton/,2083681783,Mrs,T,Tunnadine,,Headteacher,Not applicable,,Not applicable,Not applicable,Not applicable,,Not applicable,Not applicable,,,London,Woodhouse,Finchley and Golders Green,Urban > 10k - less sparse,E09000003,527295,191678,Barnet 022,Barnet 022F,,999,,,-0.163094,51.609564,Unknown,24/09/2015,"(51.609564, -0.163094)",565
136656,304,Brent,5400,Claremont High School,Academy Converter,Open,Academy Converter,01/04/2011,,,Secondary,11,18,No Boarders,Has a sixth form,Mixed,None,Not applicable,Comprehensive,1600,No Special Classes,16/01/2014,1594,805,790,11.8%,Linked to a trust/single academy trust,Claremont High School Academy Trust,-,,Not applicable,,10033373,,Not applicable,13/05/2015,Not in special measures,02/06/2015,Claremont Avenue,Kenton,,Harrow,,HA3 0UH,http://www.claremont-high.org.uk,2082044442,Mr,Terry,Molloy,,Headteacher,Not applicable,,Not applicable,Not applicable,Not applicable,,Not applicable,Not applicable,,,London,Kenton,Brent North,Urban > 10k - less sparse,E09000005,518305,188663,Brent 003,Brent 003D,,999,,,-0.293873,51.584426,Unknown,24/09/2015,"(51.584426, -0.293873)",566
136658,302,Barnet,4212,East Barnet School,Academy Converter,Open,Academy Converter,01/04/2011,,,Secondary,11,18,No Boarders,Has a sixth form,Mixed,Does not apply,Not applicable,Comprehensive,1350,No Special Classes,16/01/2014,1340,830,510,9.9%,Linked to a trust/single academy trust,East Barnet School,-,,Not applicable,,10033375,,Not applicable,,Not in special measures,16/02/2015,Chestnut Grove,East Barnet,,Barnet,Hertfordshire,EN4 8PU,http://www.eastbarnet.barnet.sch.uk,2083442100,Mr,N,Christou,,Headteacher,Not applicable,,Not applicable,Not applicable,Not applicable,,Not applicable,Not applicable,,,London,East Barnet,Chipping Barnet,Urban > 10k - less sparse,E09000003,527778,195482,Barnet 003,Barnet 003D,,999,,,-0.154736,51.64364,Unknown,24/09/2015,"(51.64364, -0.154736)",567
136807,202,Camden,2000,St Luke's Church of England Primary,Free Schools,Open,New Provision,16/09/2011,,,Primary,4,11,No Boarders,Does not have a sixth form,Mixed,Church of England,Not applicable,Not applicable,105,Not applicable,16/01/2014,44,30,15,15.9%,Linked to a trust/single academy trust,St Luke’s Church of England School,Linked to a sponsor,Diocese of London,Not applicable,,10035320,,,03/07/2013,Not in special measures,24/06/2014,12 Kidderpore Avenue,,,London,,NW3 7SU,http://www.stlukesschool.org.uk,2074355604,Mrs,Gill,Tyler,,,Not applicable,,,Not applicable,Not applicable,,,Not applicable,,,London,Frognal and Fitzjohns,Hampstead and Kilburn,Urban > 10k - less sparse,E09000007,525270,185912,Camden 004,Camden 004A,,999,,,-0.194377,51.558199,Unknown,24/09/2015,"(51.558199, -0.194377)",568
136808,309,Haringey,2011,Eden Primary,Free Schools,Open,New Provision,12/09/2011,,,Primary,4,11,No Boarders,Does not have a sixth form,Mixed,Jewish,Not applicable,Not applicable,210,Not applicable,16/01/2014,90,55,35,3.3%,Linked to a trust/single academy trust,Eden Primary Trust,-,,Not applicable,,10035327,,,02/07/2013,Not in special measures,24/06/2014,79 Creighton Avenue,Muswell Hill,,London,,N10 1NR,,2088839527,Ms,Jo,Sassienie,,,Not applicable,,,Not applicable,Not applicable,,,Not applicable,,,London,Fortis Green,Hornsey and Wood Green,Urban > 10k - less sparse,E09000014,528088,190096,Haringey 014,Haringey 014C,,999,,,-0.152226,51.595167,Unknown,24/09/2015,"(51.595167, -0.152226)",569
136938,302,Barnet,2001,Etz Chaim Jewish Primary School,Free Schools,Open,New Provision,05/09/2011,,,Primary,3,11,No Boarders,Does not have a sixth form,Mixed,Jewish,Not applicable,Comprehensive,196,Not applicable,16/01/2014,110,65,45,0%,Linked to a trust/single academy trust,Etz Chaim Jewish Primary School Trust,-,,Not applicable,,10035227,,,30/01/2013,Not in special measures,16/02/2015,20 Daws Lane,,,London,,NW7 4SL,http://www.etzchaim-primaryschool.org.uk/,2089062983,Headteacher,Yvonne,Baron,,,Not applicable,,,Not applicable,Not applicable,,,Not applicable,,,London,Mill Hill,Hendon,Urban > 10k - less sparse,E09000003,522029,192076,Barnet 016,Barnet 016B,,999,,,-0.238964,51.614306,Unknown,24/09/2015,"(51.614306, -0.238964)",570
137131,302,Barnet,4208,Queen Elizabeth's Girls' School,Academy Converter,Open,Academy Converter,01/08/2011,,,Secondary,11,18,No Boarders,Has a sixth form,Girls,Does not apply,Not applicable,Comprehensive,1146,No Special Classes,16/01/2014,1171,0,1170,14.3%,Linked to a trust/single academy trust,Queen Elizabeth's Girls' School (Barnet),-,,Not applicable,,10034587,,Not applicable,27/03/2014,Not in special measures,16/02/2015,High Street,,,Barnet,Hertfordshire,EN5 5RR,http://www.qegschool.org.uk,2084492984,Mrs,Kate,Webster,,Headteacher,Not applicable,,Not applicable,Not applicable,Not applicable,,Not applicable,Not applicable,,,London,High Barnet,Chipping Barnet,Urban > 10k - less sparse,E09000003,524845,196314,Barnet 001,Barnet 001C,,999,,,-0.196805,51.651775,Unknown,24/09/2015,"(51.651775, -0.196805)",571
137181,202,Camden,4000,The UCL Academy,Academy Sponsor Led,Open,New Provision,01/09/2012,Not applicable,,Secondary,11,18,No Boarders,Has a sixth form,Mixed,Does not apply,Not applicable,Comprehensive,1150,Not applicable,16/01/2014,535,280,255,26.5%,Linked to a trust/single academy trust,"UCL Academy, The",Linked to a sponsor,University College London (UCL),Not applicable,,10035564,,,14/05/2014,Not in special measures,24/06/2014,Adelaide Road,,Swiss Cottage,Camden,,NW3 3AQ,http://www.uclacademy.co.uk,2074493080,,Geraldine,Davies,,,Not applicable,,,Not applicable,Not applicable,,,Not applicable,,,London,Swiss Cottage,Hampstead and Kilburn,Urban > 10k - less sparse,E09000007,526867,184105,Camden 017,Camden 017C,,999,,,-0.172004,51.541604,Unknown,24/09/2015,"(51.541604, -0.172004)",572
137303,302,Barnet,3515,Independent Jewish Day School,Academy Converter,Open,Academy Converter,17/08/2011,,,Primary,4,11,No Boarders,Not applicable,Mixed,Jewish,Not applicable,Not applicable,222,No Special Classes,16/01/2014,228,120,105,0%,Linked to a trust/single academy trust,Independent Jewish Day School,-,,Not applicable,,10034555,,Not applicable,,Not in special measures,16/02/2015,46 Green Lane,Hendon,,London,,NW4 2AH,http://www.ijds.co.uk,2082032299,Rabbi,Jacob,Ebrahimoff,Msc Npqh,Headteacher,Not applicable,,Not applicable,Not applicable,Not applicable,,Not applicable,Not applicable,,,London,Hendon,Hendon,Urban > 10k - less sparse,E09000003,523787,188927,Barnet 034,Barnet 034A,,999,,,-0.214697,51.585622,Unknown,24/09/2015,"(51.585622, -0.214697)",573
137323,213,Westminster,2000,ARK Atwood Primary Academy,Free Schools,Open,New Provision,15/09/2011,,,Primary,3,11,No Boarders,Does not have a sixth form,Mixed,None,Not applicable,Not applicable,450,Not applicable,16/01/2014,180,95,85,32.2%,Linked to a multi-academy trust,ARK Schools,Linked to a sponsor,ARK Schools,Not applicable,,10035321,,,10/07/2013,Not in special measures,24/06/2014,17-23 Third Avenue,Westminster,,London,,W10 4RS,,2089624700,Mr,Daniel,Upfield,,,Not applicable,,,Not applicable,Not applicable,,,Not applicable,,,London,Queen's Park,Westminster North,Urban > 10k - less sparse,E09000033,524423,182533,Westminster 004,Westminster 004D,,999,,,-0.207782,51.52802,Unknown,24/09/2015,"(51.52802, -0.207782)",574
137333,202,Camden,6000,CATS College London,Other Independent School,Open,New Provision,05/09/2011,,,Not applicable,15,24,Boarding School,Has a sixth form,Mixed,None,Not applicable,Not collected,365,Not applicable,16/01/2014,299,145,155,,Not applicable,,Not applicable,,Not applicable,,10026751,,,,Not applicable,25/06/2015,43-45 Bloomsbury Square & 2 Southampton Place,,,London,,WC1A 2RA,http://www.catscollege.com/en/locations/london,207841580,Mr,Mario,Di Clemente,,Principal,Not applicable,,,Not applicable,Not applicable,,,Not approved,,,London,Holborn and Covent Garden,Holborn and St. Pancras,Urban > 10k - less sparse,E09000007,530364,181581,Camden 028,Camden 028C,Has boarders,999,,,-0.12254,51.518126,Unknown,24/09/2015,"(51.518126, -0.12254)",575
137353,213,Westminster,4673,The St Marylebone CofE School,Academy Converter,Open,Academy Converter,01/09/2011,,,Secondary,11,18,No Boarders,Has a sixth form,Girls,Church of England,Diocese of London,Comprehensive,1050,No Special Classes,16/01/2014,1062,75,990,14%,Linked to a trust/single academy trust,"St Marylebone Church of England School, The",Linked to a sponsor,Diocese of London,Not applicable,,10035059,,Not applicable,01/04/2014,Not in special measures,16/02/2015,64 Marylebone High Street,,,London,,W1U 5BA,http://www.stmaryleboneschool.com/,2079354704,Miss,K,Pugh,,Headteacher,Not applicable,,Not applicable,Not applicable,Not applicable,,Not applicable,Not applicable,,,London,Marylebone High Street,Cities of London and Westminster,Urban > 10k - less sparse,E09000033,528296,181984,Westminster 011,Westminster 011D,,999,,,-0.152182,51.52222,Unknown,24/09/2015,"(51.52222, -0.152182)",576
137361,302,Barnet,4012,Whitefield School,Academy Converter,Open,Academy Converter,01/09/2011,,,Secondary,11,18,No Boarders,Has a sixth form,Mixed,None,Not applicable,Comprehensive,1052,No Special Classes,16/01/2014,756,420,335,37.7%,Linked to a trust/single academy trust,Whitefield School,-,,Not applicable,,10035167,,Not applicable,29/01/2014,Not in special measures,01/01/2015,Claremont Road,Cricklewood,,London,,NW2 1TR,,2084554114,Ms,Elizabeth,Rymer,,Headteacher,Not applicable,,Not applicable,Not applicable,Not applicable,,Not applicable,Not applicable,PD - Physical Disability,,London,Golders Green,Finchley and Golders Green,Urban > 10k - less sparse,E09000003,523520,187587,Barnet 039,Barnet 039B,,999,,,-0.21902,51.573638,Unknown,24/09/2015,"(51.573638, -0.21902)",577
137374,302,Barnet,4009,The Totteridge Academy,Academy Converter,Open,Academy Converter,01/09/2011,,,Secondary,11,18,No Boarders,Has a sixth form,Mixed,Does not apply,Not applicable,Comprehensive,884,Has Special Classes,16/01/2014,755,515,240,30.4%,Linked to a trust/single academy trust,"Totteridge Academy, The",-,,Not applicable,,10035062,,Not applicable,,Not in special measures,16/02/2015,Barnet Lane,,,London,,N20 8AZ,,2084459205,Mr,Paul,Ferrie,,Headteacher,Not applicable,,Not applicable,Not applicable,Not applicable,,Not applicable,Not applicable,"SLCN - Speech, language and Communication",,London,Totteridge,Chipping Barnet,Urban > 10k - less sparse,E09000003,524632,194876,Barnet 007,Barnet 007C,,999,,,-0.200394,51.638899,Unknown,24/09/2015,"(51.638899, -0.200394)",578
137386,302,Barnet,5402,Mill Hill County High School,Academy Converter,Open,Academy Converter,01/09/2011,,,Secondary,11,18,No Boarders,Has a sixth form,Mixed,None,Not applicable,Comprehensive,1538,No Special Classes,16/01/2014,1701,895,810,9%,Linked to a trust/single academy trust,Mill Hill County High School,-,,Not applicable,,10034554,,Not applicable,06/03/2012,Not in special measures,16/02/2015,Worcester Crescent,Mill Hill,,London,,NW7 4LL,http://www.mhchs.org.uk,8444772424,Mr,G A,Thompson,,Head,Not applicable,,Not applicable,Not applicable,Not applicable,,Not applicable,Not applicable,"SEMH - Social, Emotional and Mental Health",,London,Hale,Hendon,Urban > 10k - less sparse,E09000003,521380,193756,Barnet 007,Barnet 007A,,999,,,-0.247752,51.629544,Unknown,24/09/2015,"(51.629544, -0.247752)",579
137388,302,Barnet,4211,Christ's College Finchley,Academy Converter,Open,Academy Converter,01/09/2011,,,Secondary,11,18,No Boarders,Has a sixth form,Boys,Does not apply,Not applicable,Comprehensive,1007,No Special Classes,16/01/2014,911,890,25,17.4%,Linked to a trust/single academy trust,Christ's College Finchley,-,,Not applicable,,10035144,,Not applicable,03/12/2013,Not in special measures,24/06/2014,East End Road,East Finchley,,London,,N2 0SE,http://www.christscollegefinchley.org.uk/,2083493581,Mr,Samson,Olusanya,,Headteacher,Not applicable,,Not applicable,Not applicable,Not applicable,,Not applicable,Not applicable,,,London,Garden Suburb,Finchley and Golders Green,Urban > 10k - less sparse,E09000003,525672,189571,Barnet 033,Barnet 033E,,999,,,-0.187274,51.590993,Unknown,24/09/2015,"(51.590993, -0.187274)",580
137393,206,Islington,3644,The New North Academy,Academy Converter,Open,Academy Converter,01/09/2011,,,Primary,3,11,No Boarders,Not applicable,Mixed,Does not apply,Not applicable,Not applicable,420,Not applicable,16/01/2014,409,200,205,56.6%,Linked to a trust/single academy trust,"New North Academy, The",-,,Not applicable,,10034839,,Not applicable,09/11/2011,Not in special measures,12/05/2015,32 Popham Road,Islington,,London,,N1 8SJ,,2077043900,Miss,Nicola,Percy,B.Ed,Headteacher,Not applicable,,Not applicable,Not applicable,Not applicable,,Not applicable,Not applicable,,,London,St Peter's,Islington South and Finsbury,Urban > 10k - less sparse,E09000019,532215,184031,Islington 018,Islington 018B,,999,,,-0.09496,51.539713,Unknown,24/09/2015,"(51.539713, -0.09496)",581
137502,302,Barnet,6001,Peninim,Other Independent School,Open,New Provision,12/09/2011,,,Not applicable,2,7,No Boarders,Does not have a sixth form,Girls,Jewish,Not applicable,Not collected,20,Not applicable,16/01/2014,25,0,25,0%,Not applicable,,Not applicable,,Not applicable,,,,,,Not applicable,09/06/2015,27 Green Lane,,Barnet,London,,NW4 2NL,,2082018668,Mrs,Chaya,Rand,,Head Teacher,Not applicable,,,Not applicable,Not applicable,,,Not approved,,,London,Hendon,Hendon,Urban > 10k - less sparse,E09000003,523748,188821,Barnet 034,Barnet 034A,Does not have boarders,999,,,-0.215297,51.584678,Unknown,24/09/2015,"(51.584678, -0.215297)",582
137531,309,Haringey,4036,Alexandra Park School,Academy Converter,Open,Academy Converter,01/10/2011,,,Secondary,11,18,No Boarders,Has a sixth form,Mixed,Does not apply,Not applicable,Comprehensive,1290,Not applicable,16/01/2014,1442,750,695,15.4%,Linked to a trust/single academy trust,Alexandra Park School,-,,Not applicable,,10034567,,Not applicable,15/11/2011,Not in special measures,16/02/2015,Bidwell Gardens,,,London,,N11 2AZ,http://www.apsch.org.uk,2088264880,Mr,Michael,McKenzie,,Headteacher,Not applicable,,Not applicable,Not applicable,Not applicable,,Not applicable,Not applicable,,,London,Alexandra,Hornsey and Wood Green,Urban > 10k - less sparse,E09000014,529125,190891,Haringey 009,Haringey 009A,,999,,,-0.136971,51.602075,Unknown,24/09/2015,"(51.602075, -0.136971)",583
137539,302,Barnet,5409,Hasmonean High School,Academy Converter,Open,Academy Converter,01/10/2011,,,Secondary,11,18,No Boarders,Has a sixth form,Mixed,Jewish,Not applicable,Comprehensive,1494,No Special Classes,16/01/2014,1045,560,485,7.4%,Linked to a trust/single academy trust,Hasmonean High School,-,,Not applicable,,10035035,,Not applicable,21/11/2012,Not in special measures,24/06/2014,Holders Hill Road,Hendon,,London,,NW4 1NA,http://www.hasmonean.co.uk,2082031411,Rabbi,David,Meyer,,Executive Headteacher,Not applicable,,Not applicable,Not applicable,Not applicable,,Not applicable,Not applicable,,,London,Finchley Church End,Finchley and Golders Green,Urban > 10k - less sparse,E09000003,523775,190136,Barnet 025,Barnet 025A,,999,,,-0.214444,51.59649,Unknown,24/09/2015,"(51.59649, -0.214444)",584
137566,206,Islington,2643,William Tyndale Primary School,Academy Converter,Open,Academy Converter,01/10/2011,,,Primary,3,11,No Boarders,Not applicable,Mixed,Does not apply,Not applicable,Not applicable,368,No Special Classes,16/01/2014,446,230,215,20.9%,Linked to a trust/single academy trust,William Tyndale Primary School,-,,Not applicable,,10035515,,Not applicable,20/03/2013,Not in special measures,16/02/2015,Upper Street,,,London,Middlesex,N1 2GG,,2072266803,Mrs,Tanya,Watson,,Headteacher,Not applicable,,Not applicable,Not applicable,Not applicable,,Not applicable,Not applicable,,,London,St Mary's,Islington South and Finsbury,Urban > 10k - less sparse,E09000019,531770,184284,Islington 016,Islington 016E,,999,,,-0.101278,51.54209,Unknown,24/09/2015,"(51.54209, -0.101278)",585
137645,302,Barnet,5400,Hendon School,Academy Converter,Open,Academy Converter,01/11/2011,,,Secondary,11,18,No Boarders,Has a sixth form,Mixed,None,Not applicable,Comprehensive,1269,Has Special Classes,16/01/2014,1280,665,615,27.3%,Linked to a trust/single academy trust,Hendon School,-,,Not applicable,,10035665,,Not applicable,,Not in special measures,11/03/2015,Golders Rise,Hendon,,London,,NW4 2HP,,2082029004,Ms,Rhona,Povey,,Headteacher,Not applicable,,Not applicable,Not applicable,Not applicable,,Not applicable,Not applicable,HI - Hearing Impairment,,London,Hendon,Hendon,Urban > 10k - less sparse,E09000003,523568,188931,Barnet 032,Barnet 032A,,999,,,-0.217855,51.585706,Unknown,24/09/2015,"(51.585706, -0.217855)",586
137646,213,Westminster,4295,Quintin Kynaston Academy,Academy Converter,Open,Academy Converter,01/11/2011,,,Secondary,11,18,No Boarders,Has a sixth form,Mixed,None,Not applicable,Comprehensive,1500,No Special Classes,16/01/2014,1374,775,595,48.9%,Linked to a trust/single academy trust,"Quintin Kynaston Academy Trust, The",Linked to a sponsor,Quintin Kynaston School,Not applicable,,10035700,,Not applicable,17/09/2014,Not in special measures,07/04/2015,Marlborough Hill,,,London,,NW8 0NL,http://www.qkacademy.org.uk/,2077228141,Mr,Alex,Atherton,,Headteacher,Not applicable,,Not applicable,Not applicable,Not applicable,,Not applicable,Not applicable,,,London,Abbey Road,Westminster North,Urban > 10k - less sparse,E09000033,526552,183679,Westminster 001,Westminster 001B,,999,,,-0.176697,51.537846,Unknown,24/09/2015,"(51.537846, -0.176697)",587
137685,304,Brent,5402,Kingsbury High School,Academy Converter,Open,Academy Converter,01/12/2011,,,Secondary,11,18,No Boarders,Has a sixth form,Mixed,None,Not applicable,Comprehensive,2050,No Special Classes,16/01/2014,1967,1070,895,15.1%,Linked to a trust/single academy trust,Kingsbury High School,-,,Not applicable,,10035801,,Not applicable,16/09/2014,Not in special measures,16/02/2015,Princes Avenue,Kingsbury,,London,,NW9 9JR,http://www.kingsburyhigh.org.uk/,2082049814,Mr,Jeremy,Waxman,,Headteacher,Not applicable,,Not applicable,Not applicable,Not applicable,,Not applicable,Not applicable,HI - Hearing Impairment,,London,Queensbury,Brent North,Urban > 10k - less sparse,E09000005,519617,189280,Brent 003,Brent 003F,,999,,,-0.274736,51.589694,Unknown,24/09/2015,"(51.589694, -0.274736)",588
